created_at,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at,,supporting
10/23/2020 15:21,1.32E+18,@DavidCornDC #trump 's family is running scared too. Jr will be following daddy to jail. Along with his siblings.,0,0,Twitter for Android,1.04E+18,Ray Tenter,TenterRay,,9/10/2018 22:56,10,"Iowa, USA",41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,47:12.6,,joe_biden
10/23/2020 15:41,1.32E+18,"Regardless of whether #Trump or #Biden win the presidential election, it could mean big changes to the #taxcode. Learn how planning ahead ensures the greatest opportunity for success in @Kiplinger. https://t.co/5htRgjgR9o",1,0,Twitter Web App,355678360,Bruce Willey🇺🇸,BWcatalyst,"🇺🇸
JD CPA
Entrepreneur.
Learning Something New Every Day",8/15/2011 18:37,85,"Cedar Rapids, IA",41.9758872,-91.6704053,Cedar Rapids,United States of America,North America,Iowa,IA,47:06.2,,joe_biden
10/23/2020 16:18,1.32E+18,Was this #Trump's most vile lie of the evening? The kids came with parents. He made it sound like there was a massive plot to get the kids i to the country alone. Now their parents are gone &amp; neither knows where the other is. https://t.co/NoSUHqLZOQ,20,12,Twitter for Android,45413198,Bob Krause,KrauseForIowa,"Veteran Activist & Observer. frmr Carter Admin, frmr Senate candidate for Iowa. Prez at Veterans National Recovery Center.   RT is not   agreement.",6/7/2009 20:12,37757,Iowa,41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,46:55.5,,joe_biden
10/23/2020 16:23,1.32E+18,WHAT??? @MSNBC Slams Americans Voting for #Trump: Just a Bunch of “Lizard Brain” “White Guys” https://t.co/Ab2foiPo1Z,1,1,Twitter Web App,1.14E+18,Iowa Young Republicans,YoungIowaGOP,The biggest statewide organization for young Republicans age 18-40 all across Iowa #IA01 #IA02 #IA03 #IA04 #IAPolitics @YRNF,6/26/2019 1:26,839,"Des Moines, IA",41.5910323,-93.6046655,Des Moines,United States of America,North America,Iowa,IA,46:54.4,,joe_biden
10/23/2020 17:08,1.32E+18,@guang_lie As much as I can’t stand #Trump but he polished up very nicely...,0,0,Twitter for iPhone,738882920,DontMakeMe,jeffreylogics,Wisest words ever tweeted! Making LOGIC of the world! From news to sports cut through the BS! Money makes the world go round ADOS🇺🇸,8/5/2012 16:53,596,Iowa,41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,46:41.2,,joe_biden
10/23/2020 17:14,1.32E+18,Massive Google search last night for “Can I change my vote?” Guaranteed they were trying to figure out how to flip to Trump. #Debates2020 #Debate #Trump #JoeBiden,1,1,Twitter for iPhone,1.31E+18,Arnie Grape,ArnyGrape,I DID IT GILBERT! I DID IT!,9/28/2020 21:49,14,"Endora, Iowa",41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,46:39.7,,joe_biden
10/23/2020 17:43,1.32E+18,"@seanhannity Why? #Biden did what he needed to do, as did #Trump, so nothing changes.",1,0,Twitter for iPhone,19472500,Brad Minnick,bjminnick,independent political observer & former diplomat whose journey continues in small town USA!,1/25/2009 1:17,197,"Clayton, NY",42.8547706,-91.3667151,,United States of America,North America,Iowa,IA,46:30.4,,joe_biden
10/23/2020 17:53,1.32E+18,A real low point of #Trump’s term https://t.co/avOZxyNp4K,1,0,Twitter for iPhone,19472500,Brad Minnick,bjminnick,independent political observer & former diplomat whose journey continues in small town USA!,1/25/2009 1:17,197,"Clayton, NY",42.8547706,-91.3667151,,United States of America,North America,Iowa,IA,46:28.2,,joe_biden
10/23/2020 18:12,1.32E+18,Will US flag get an extra star? #PuertoRico was treated so crudely by #Trump after the hurricane that I felt embarrassed. He only got interested when he realized that hurricane refugees might help him win #Florida. We need to fix this mess with statehood! https://t.co/vZYuJBI6Aj,18,9,Twitter for Android,45413198,Bob Krause,KrauseForIowa,"Veteran Activist & Observer. frmr Carter Admin, frmr Senate candidate for Iowa. Prez at Veterans National Recovery Center.   RT is not   agreement.",6/7/2009 20:12,37757,Iowa,41.9216734,-93.3122705,,United States of America,North America,Iowa,IA,46:24.2,,joe_biden
10/23/2020 18:13,1.32E+18,"Truth! 
#GhostTown #NY #Trump https://t.co/q3mV0zybt4",1,0,Twitter Web App,1255854925,Beck,BeckSE72,Who have we become?,3/10/2013 1:58,416,"Davenport, IA",41.5236436,-90.5776368,Davenport,United States of America,North America,Iowa,IA,46:23.2,,joe_biden
